name,url
        Dr. Hosam  ,https://www.lakeheadu.ca/users/E/hosam/node/17388
        Dr. Ruizhong  ,https://www.lakeheadu.ca/users/W/rwei/node/48898
        Dr. Jinan  ,https://www.lakeheadu.ca/users/F/jfiaidhi/node/17390
        Dr. Sabah  ,https://www.lakeheadu.ca/users/M/mohammed/node/17391
        Dr. Vijay  ,https://www.lakeheadu.ca/users/M/vmago/node/25295
        Dr. Salimur  ,https://www.lakeheadu.ca/users/C/schoudhu/node/43504
        Dr. Zubair  ,https://www.lakeheadu.ca/users/F/zfadlull/node/50708
        Dr. Thiago E.  ,https://www.lakeheadu.ca/users/A/talvesd/node/52506
        Dr. Muhammad  ,https://www.lakeheadu.ca/users/A/masaduzz/node/63023
        Dr. Garima  ,https://www.lakeheadu.ca/users/B/bajwa-garima/node/63024
        Dr. Amin  ,https://www.lakeheadu.ca/users/S/asafaei/node/64130
        Dr. Xing  ,https://www.lakeheadu.ca/users/T/xtan27/node/66440
        Dr. Maurice  ,https://www.lakeheadu.ca/users/B/mwbenson/node/17256
        Dr. Xiaoxiao (Rachael)  ,https://www.lakeheadu.ca/users/W/xwang152/node/52507
